source-address 	lat	lng	 RSSI 
2;	43,5703;	1,4668;	-112
2;	43,5707;	1,467;	-112
2;	43,5704;	1,4669;	-112
2;	43,5708;	1,467;	-110
2;	43,5708;	1,467;	-109
2;	43,5701;	1,4656;	-113
2;	43,5701;	1,4665;	-103
2;	43,5702;	1,4667;	-113
2;	43,5702;	1,4667;	-112
2;	43,5709;	1,467;	-114
2;	43,5712;	1,4653;	-113
2;	43,5712;	1,4668;	-112
2;	43,5701;	1,4655;	-110
2;	43,5701;	1,4666;	-113
2;	43,5701;	1,4666;	-115
2;	43,5703;	1,4669;	-112
2;	43,5702;	1,4668;	-114
2;	43,5713;	1,4667;	-111
2;	43,5704;	1,467;	-112
2;	43,5714;	1,4665;	-114
2;	43,5707;	1,4671;	-109
2;	43,5708;	1,4671;	-112
2;	43,5706;	1,4671;	-109
2;	43,5712;	1,4652;	-113
2;	43,5714;	1,4666;	-112
2;	43,5715;	1,4664;	-111
2;	43,5707;	1,4672;	-107
2;	43,5706;	1,4672;	-101
2;	43,57;      1,4667; -113
2;	43,5705;	1,4672;	-109
2;	43,5716;	1,4662;	-113
2;	43,5713;	1,4651;	-113
2;	43,5716;	1,4663;	-110
2;	43,5706;	1,4673;	-111
2;	43,5705;	1,4673;	-109
2;	43,5704;	1,4673;	-112
2;	43,5699;	1,4668;	-114
2;	43,5717;	1,4661;	-112
2;	43,5717;	1,4662;	-111
2;	43,5705;	1,4674;	-110
2;	43,5714;	1,465;	-112
2;	43,5703;	1,4674;	-108
2;	43,5698;	1,4668;	-109
2;	43,5718;	1,4661;	-114
2;	43,5718;	1,4661;	-108
2;	43,5718;	1,4662;	-113
2;	43,5715;	1,465;	-111
2;	43,5704;	1,4675;	-106
2;	43,5704;	1,4675;	-109
2;	43,5702;	1,4674;	-112
2;	43,5715;	1,4649;	-110
2;	43,5697;	1,4668;	-114
2;	43,5702;	1,4675;	-113
2;	43,5718;	1,4654;	-107
2;	43,5719;	1,466;	-90
2;	43,5719;	1,4661;	-112
2;	43,5719;	1,4659;	-112
2;	43,5703;	1,4676;	-108
2;	43,5703;	1,4676;	-109
2;	43,5718;	1,4653;	-99
2;	43,5696;	1,4668;	-113
2;	43,5696;	1,4668;	-109
2;	43,5719;	1,4655;	-105
2;	43,5716;	1,4648;	-110
2;	43,5719;	1,4654;	-93
2;	43,5701;	1,4676;	-113
2;	43,572;     1,4659; -113
2;	43,572;     1,4658; -113
2;	43,5702;	1,4677;	-112
2;	43,572;     1,4657; -94
2;	43,572;     1,4656; -106
2;	43,572;     1,4656; -93
2;	43,5719;	1,4652;	-95
2;	43,5717;	1,4648;	-107
2;	43,5701;	1,4677;	-113
2;	43,572	;1,4655	;-97
2;	43,5696;	1,4671;	-112
2;	43,5696;	1,4671;	-113
2;	43,5695;	1,4669;	-111
2;	43,5695;	1,4669;	-111
2;	43,572	;1,4654	;-94
2;	43,5719;	1,4651;	-109
2;	43,5717;	1,4674;	-94
2;	43,5721;	1,4659;	-110
2;	43,5696;	1,4672;	-113
2;	43,5695;	1,467	;	-113
2;	43,572	;1,4653	;-111
2;	43,5694;	1,4667;	-110
2;	43,5721;	1,4658;	-113
2;	43,5721;	1,4658;	-100
2;	43,5701;	1,4678;	-108
2;	43,5701;	1,4678;	-112
2;	43,5701;	1,4678;	-111
2;	43,5697;	1,4674;	-109
2;	43,5697;	1,4674;	-112
2;	43,5718;	1,4648;	-111
2;	43,5696;	1,4673;	-110
2;	43,5696;	1,4673;	-114
2;	43,5698;	1,4676;	-109
2;	43,5698;	1,4676;	-106
2;	43,5698;	1,4676;	-113
2;	43,5693;	1,4665;	-111
2;	43,57		;1,4678	;-110
2;	43,57		;1,4678	;-112
2;	43,5697;	1,4675;	-113
2;	43,5721;	1,4654;	-109
2;	43,5693;	1,4666;	-112
2;	43,5696;	1,4674;	-114
2;	43,5696;	1,4674;	-113
2;	43,5698;	1,4677;	-112
2;	43,5698;	1,4677;	-112
2;	43,5698;	1,4677;	-113
2;	43,5699;	1,4678;	-111
2;	43,5718;	1,4675;	-111
