=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.06 10:21:43 =~=~=~=~=~=~=~=~=~=~=~=
SSX1272 module configuration in Arduino
SX1272 Module on
Frequency channel D90666 has been successfully set.
Output power F has been successfully set.
#Verification of parameters:#
  Node address: 8
  Bandwidth: 0
  Coding rate: 1
  Spreading factor: 12
  Header mode: 0
  CRC field: 1
  BW: 0
SX1272 successfully configured !

 
Module ready for reception ! 
Packet status ; Packet number ; Received data ; RSSI packet (dBm) ; source address

 
Adafruit GPS library basic test!
$PMTK605*31
10607
status ; RSSI ; RSSI packet ; SNR ; source-address ; lat , lng
1 ; -113 ; -95 ; 6 ; 2 ; 43.5696; 1.4671

1 ; -113 ; -96 ; 6 ; 2 ; 43.5696; 1.4672

1 ; -114 ; -92 ; 6 ; 2 ; 43.5696; 1.4673

1 ; -112 ; -92 ; 7 ; 2 ; 43.5697; 1.4674

1 ; -113 ; -88 ; 8 ; 2 ; 43.5696; 1.4674

1 ; -110 ; -93 ; 7 ; 2 ; 43.5696; 1.4673

1 ; -114 ; -96 ; 7 ; 2 ; 43.5696; 1.4674

1 ; -113 ; -95 ; 7 ; 2 ; 43.5697; 1.4675

1 ; -113 ; -93 ; 8 ; 2 ; 43.5698; 1.4676

1 ; -112 ; -92 ; 7 ; 2 ; 43.5698; 1.4677

1 ; -113 ; -88 ; 9 ; 2 ; 43.5698; 1.4677

1 ; -112 ; -95 ; 7 ; 2 ; 43.5698; 1.4677

1 ; -113 ; -91 ; 7 ; 2 ; 43.5698; 1.4678

1 ; -112 ; -87 ; 7 ; 2 ; 43.5699; 1.4680

1 ; -106 ; -96 ; 7 ; 2 ; 43.5698; 1.4681

1 ; -112 ; -103 ; 5 ; 2 ; 43.5697; 1.4682

1 ; -113 ; -103 ; 4 ; 2 ; 43.5697; 1.4682

1 ; -115 ; -103 ; 5 ; 2 ; 43.5696; 1.4683

1 ; -113 ; -105 ; 4 ; 2 ; 

1 ; -113 ; -104 ; 5 ; 2 ; 43.5695; 1.4684

1 ; -110 ; -105 ; 3 ; 2 ; 43.5694; 1.4685

1 ; -112 ; -104 ; 5 ; 2 ; 43.5693; 1.4686

1 ; -112 ; -99 ; 6 ; 2 ; 43.5693; 1.4687

1 ; -114 ; -106 ; 3 ; 2 ; 43.5692; 1.4687

1 ; -113 ; -104 ; 4 ; 2 ; 43.5691; 1.4688

1 ; -114 ; -104 ; 4 ; 2 ; 43.5690; 1.4689

1 ; -112 ; -107 ; 1 ; 2 ; 43.5689; 1.4689

1 ; -113 ; -105 ; 3 ; 2 ; 43.5688; 1.4690

1 ; -114 ; -108 ; 1 ; 2 ; 43.5688; 1.4691

1 ; -113 ; -108 ; 2 ; 2 ; 43.5687; 1.4692

1 ; -110 ; -107 ; 3 ; 2 ; 43.5687; 1.4692

1 ; -114 ; -108 ; 3 ; 2 ; 43.5687; 1.4692

1 ; -113 ; -103 ; 7 ; 2 ; 43.5687; 1.4692

1 ; -114 ; -104 ; 5 ; 2 ; 

1 ; -113 ; -107 ; 4 ; 2 ; 43.5686; 1.4692

1 ; -112 ; -107 ; 1 ; 2 ; 43.5685; 1.4693

1 ; -113 ; -106 ; 4 ; 2 ; 43.5685; 1.4693

1 ; -113 ; -106 ; 2 ; 2 ; 43.5684; 1.4694

1 ; -112 ; -105 ; 4 ; 2 ; 43.5684; 1.4695

1 ; -114 ; -106 ; 4 ; 2 ; 43.5683; 1.4696

1 ; -112 ; -107 ; 3 ; 2 ; 43.5682; 1.4696

1 ; -112 ; -102 ; 5 ; 2 ; 

1 ; -112 ; -107 ; 3 ; 2 ; 43.5682; 1.4699

1 ; -112 ; -106 ; 4 ; 2 ; 43.5683; 1.4699

1 ; -111 ; -109 ; 0 ; 2 ; 43.5683; 1.4700

1 ; -113 ; -105 ; 4 ; 2 ; 43.5684; 1.4700

1 ; -113 ; -103 ; 5 ; 2 ; 43.5685; 1.4700

1 ; -114 ; -107 ; 3 ; 2 ; 43.5685; 1.4699

1 ; -114 ; -102 ; 5 ; 2 ; 43.5685; 1.4698

1 ; -113 ; -108 ; 2 ; 2 ; 43.5684; 1.4697

1 ; -113 ; -106 ; 4 ; 2 ; 43.5684; 1.4698

1 ; -113 ; -106 ; 4 ; 2 ; 43.5683; 1.4699

1 ; -109 ; -120 ; -3 ; 2 ; 43.5682; 1.4699

1 ; -112 ; -106 ; 2 ; 2 ; 43.5682; 1.4697

1 ; -111 ; -106 ; 3 ; 2 ; 43.5682; 1.4697

1 ; -107 ; -104 ; 4 ; 2 ; 43.5683; 1.4696

1 ; -110 ; -105 ; 2 ; 2 ; 43.5684; 1.4695

1 ; -109 ; -101 ; 5 ; 2 ; 43.5684; 1.4694

1 ; -110 ; -101 ; 5 ; 2 ; 43.5685; 1.4693

1 ; -107 ; -102 ; 4 ; 2 ; 43.5686; 1.4693

1 ; -111 ; -101 ; 4 ; 2 ; 43.5687; 1.4692

1 ; -107 ; -97 ; 6 ; 2 ; 43.5688; 1.4691

1 ; -110 ; -99 ; 6 ; 2 ; 

1 ; -102 ; -96 ; 5 ; 2 ; 

1 ; -111 ; -105 ; 3 ; 2 ; 

1 ; -110 ; -102 ; 3 ; 2 ; 

1 ; -103 ; -120 ; -3 ; 2 ; 

1 ; -106 ; -99 ; 5 ; 2 ; 43.5691; 1.4688

1 ; -110 ; -97 ; 6 ; 2 ; 43.5691; 1.4688

1 ; -108 ; -99 ; 4 ; 2 ; 43.5692; 1.4687

1 ; -99 ; -98 ; 3 ; 2 ; 43.5693; 1.4686

1 ; -109 ; -98 ; 6 ; 2 ; 43.5694; 1.4686

1 ; -112 ; -100 ; 7 ; 2 ; 43.5695; 1.4688

1 ; -112 ; -99 ; 6 ; 2 ; 43.5695; 1.4689

1 ; -112 ; -97 ; 6 ; 2 ; 43.5696; 1.4690

1 ; -113 ; -104 ; 4 ; 2 ; 43.5696; 1.4691

1 ; -113 ; -101 ; 5 ; 2 ; 43.5697; 1.4692

1 ; -113 ; -99 ; 6 ; 2 ; 43.5697; 1.4693

1 ; -113 ; -101 ; 7 ; 2 ; 43.5698; 1.4694

1 ; -113 ; -98 ; 6 ; 2 ; 43.5698; 1.4695

1 ; -113 ; -101 ; 6 ; 2 ; 43.5699; 1.4695

1 ; -113 ; -96 ; 7 ; 2 ; 43.5699; 1.4696

1 ; -113 ; -94 ; 7 ; 2 ; 43.5700; 1.4696

1 ; -113 ; -97 ; 7 ; 2 ; 43.5701; 1.4695

1 ; -112 ; -96 ; 6 ; 2 ; 43.5702; 1.4695

1 ; -114 ; -91 ; 8 ; 2 ; 43.5702; 1.4694

1 ; -113 ; -86 ; 8 ; 2 ; 

1 ; -113 ; -81 ; 8 ; 2 ; 

1 ; -112 ; -79 ; 8 ; 2 ; 

1 ; -114 ; -83 ; 8 ; 2 ; 43.5704; 1.4692

1 ; -113 ; -90 ; 6 ; 2 ; 43.5705; 1.4691

1 ; -111 ; -91 ; 6 ; 2 ; 43.5706; 1.4691

1 ; -113 ; -94 ; 6 ; 2 ; 43.5706; 1.4692

1 ; -109 ; -93 ; 7 ; 2 ; 43.5707; 1.4693

1 ; -112 ; -91 ; 6 ; 2 ; 43.5707; 1.4695

1 ; -113 ; -89 ; 7 ; 2 ; 43.5708; 1.4696

1 ; -112 ; -100 ; 6 ; 2 ; 43.5709; 1.4696

1 ; -112 ; -100 ; 6 ; 2 ; 43.5710; 1.4696

1 ; -112 ; -99 ; 6 ; 2 ; 43.5711; 1.4696

1 ; -113 ; -104 ; 5 ; 2 ; 43.5712; 1.4696

1 ; -111 ; -102 ; 4 ; 2 ; 43.5712; 1.4696

1 ; -113 ; -101 ; 6 ; 2 ; 43.5713; 1.4696

1 ; -105 ; -104 ; 2 ; 2 ; 43.5714; 1.4696

1 ; -113 ; -105 ; 5 ; 2 ; 43.5715; 1.4696

1 ; -113 ; -102 ; 5 ; 2 ; 43.5716; 1.4696

1 ; -112 ; -103 ; 5 ; 2 ; 43.5717; 1.4696

1 ; -113 ; -101 ; 6 ; 2 ; 43.5718; 1.4696

1 ; -113 ; -100 ; 6 ; 2 ; 43.5718; 1.4696

1 ; -114 ; -107 ; 3 ; 2 ; 43.5719; 1.4696

1 ; -112 ; -101 ; 6 ; 2 ; 

1 ; -113 ; -102 ; 5 ; 2 ; 

1 ; -113 ; -99 ; 6 ; 2 ; 

1 ; -112 ; -102 ; 6 ; 2 ; 

1 ; -113 ; -100 ; 6 ; 2 ; 43.5722; 1.4696

1 ; -110 ; -101 ; 4 ; 2 ; 43.5723; 1.4696

1 ; -111 ; -101 ; 4 ; 2 ; 43.5724; 1.4695

1 ; -108 ; -104 ; 1 ; 2 ; 43.5724; 1.4695

1 ; -88 ; -122 ; -5 ; 2 ; 43.5724; 1.4693

1 ; -97 ; -94 ; 1 ; 2 ; 43.5724; 1.4692

1 ; -109 ; -95 ; 6 ; 2 ; 43.5724; 1.4691

1 ; -102 ; -93 ; 4 ; 2 ; 43.5724; 1.4690

1 ; -107 ; -92 ; 3 ; 2 ; 43.5724; 1.4689

1 ; -95 ; -92 ; 1 ; 2 ; 43.5724; 1.4687

1 ; -99 ; -93 ; 1 ; 2 ; 43.5724; 1.4686

1 ; -109 ; -93 ; 6 ; 2 ; 43.5723; 1.4686

1 ; -108 ; -91 ; 7 ; 2 ; 43.5722; 1.4686

1 ; -110 ; -94 ; 7 ; 2 ; 43.5722; 1.4686

1 ; -107 ; -95 ; 6 ; 2 ; 43.5721; 1.4686

1 ; -112 ; -92 ; 6 ; 2 ; 43.5720; 1.4686

1 ; -99 ; -126 ; -9 ; 2 ; 43.5720; 1.4685

1 ; -106 ; -94 ; 6 ; 2 ; 43.5720; 1.4684

1 ; -103 ; -118 ; -1 ; 2 ; 43.5719; 1.4684

1 ; -112 ; -95 ; 7 ; 2 ; 43.5719; 1.4683

1 ; -106 ; -100 ; 6 ; 2 ; 

1 ; -104 ; -92 ; 6 ; 2 ; 

1 ; -114 ; -98 ; 7 ; 2 ; 

1 ; -113 ; -96 ; 7 ; 2 ; 43.5717; 1.4685

1 ; -113 ; -97 ; 7 ; 2 ; 43.5716; 1.4686

1 ; -113 ; -96 ; 6 ; 2 ; 43.5715; 1.4687

1 ; -114 ; -100 ; 6 ; 2 ; 43.5715; 1.4687

1 ; -112 ; -99 ; 7 ; 2 ; 43.5714; 1.4687

1 ; -114 ; -99 ; 5 ; 2 ; 43.5713; 1.4688

1 ; -113 ; -100 ; 6 ; 2 ; 43.5712; 1.4688

1 ; -113 ; -93 ; 8 ; 2 ; 43.5712; 1.4689

1 ; -112 ; -101 ; 5 ; 2 ; 43.5711; 1.4690

1 ; -113 ; -94 ; 7 ; 2 ; 43.5710; 1.4691

1 ; -113 ; -94 ; 6 ; 2 ; 43.5710; 1.4692

1 ; -113 ; -91 ; 6 ; 2 ; 43.5709; 1.4692

1 ; -112 ; -88 ; 7 ; 2 ; 43.5708; 1.4693

1 ; -113 ; -82 ; 7 ; 2 ; 43.5707; 1.4693

1 ; -112 ; -92 ; 7 ; 2 ; 43.5707; 1.4692

1 ; -114 ; -93 ; 7 ; 2 ; 43.5706; 1.4691

1 ; -113 ; -82 ; 7 ; 2 ; 43.5706; 1.4690

1 ; -108 ; -87 ; 8 ; 2 ; 43.5707; 1.4689

1 ; -94 ; -91 ; 7 ; 2 ; 43.5708; 1.4689

1 ; -113 ; -101 ; 6 ; 2 ; 43.5708; 1.4689

1 ; -110 ; -101 ; 5 ; 2 ; 

1 ; -102 ; -97 ; 7 ; 2 ; 

1 ; -113 ; -103 ; 5 ; 2 ; 43.5710; 1.4688

1 ; -111 ; -102 ; 6 ; 2 ; 43.5711; 1.4688

1 ; -109 ; -100 ; 5 ; 2 ; 43.5711; 1.4688

1 ; -105 ; -94 ; 7 ; 2 ; 43.5712; 1.4687

1 ; -112 ; -101 ; 5 ; 2 ; 43.5713; 1.4687

1 ; -111 ; -100 ; 6 ; 2 ; 43.5714; 1.4686

1 ; -88 ; -95 ; 3 ; 2 ; 43.5714; 1.4685

1 ; -111 ; -96 ; 6 ; 2 ; 43.5715; 1.4685

1 ; -107 ; -97 ; 0 ; 2 ; 43.5716; 1.4684

1 ; -100 ; -118 ; -1 ; 2 ; 43.5716; 1.4683

1 ; -108 ; -99 ; 1 ; 2 ; 43.5717; 1.4682

1 ; -114 ; -90 ; 6 ; 2 ; 43.5717; 1.4682

1 ; -101 ; -89 ; 5 ; 2 ; 43.5718; 1.4681

1 ; -109 ; -86 ; 6 ; 2 ; 43.5718; 1.4680

1 ; -95 ; -86 ; 0 ; 2 ; 43.5718; 1.4679

1 ; -113 ; -94 ; 6 ; 2 ; 43.5718; 1.4677

1 ; -113 ; -93 ; 7 ; 2 ; 43.5718; 1.4676

1 ; -111 ; -89 ; 6 ; 2 ; 43.5718; 1.4675

1 ; -94 ; -119 ; -2 ; 2 ; 43.5717; 1.4674

1 ; -110 ; -93 ; 6 ; 2 ; 

1 ; -85 ; -93 ; 1 ; 2 ; 

1 ; -103 ; -92 ; 5 ; 2 ; 

1 ; -104 ; -89 ; 7 ; 2 ; 

1 ; -105 ; -94 ; 3 ; 2 ; 

1 ; -113 ; -94 ; 8 ; 2 ; 

1 ; -111 ; -94 ; 8 ; 2 ; 43.5720; 1.4672

1 ; -107 ; -98 ; 3 ; 2 ; 43.5720; 1.4672

1 ; -103 ; -91 ; 2 ; 2 ; 43.5721; 1.4671

1 ; -113 ; -94 ; 6 ; 2 ; 43.5722; 1.4670

1 ; -111 ; -94 ; 5 ; 2 ; 43.5722; 1.4669

1 ; -112 ; -94 ; 6 ; 2 ; 43.5723; 1.4668

1 ; -96 ; -91 ; 7 ; 2 ; 43.5724; 1.4668

1 ; -103 ; -90 ; 3 ; 2 ; 43.5725; 1.4667

1 ; -102 ; -96 ; 3 ; 2 ; 43.5725; 1.4666

1 ; -99 ; -92 ; 3 ; 2 ; 43.5726; 1.4666

1 ; -89 ; -93 ; 0 ; 2 ; 43.5727; 1.4665

1 ; -110 ; -97 ; 4 ; 2 ; 43.5727; 1.4666

1 ; -111 ; -92 ; 7 ; 2 ; 43.5728; 1.4667

1 ; -112 ; -95 ; 7 ; 2 ; 43.5729; 1.4669

1 ; -112 ; -98 ; 6 ; 2 ; 43.5729; 1.4669

1 ; -114 ; -101 ; 7 ; 2 ; 43.5730; 1.4671

1 ; -110 ; -94 ; 0 ; 2 ; 43.5730; 1.4672

1 ; -106 ; -94 ; 4 ; 2 ; 43.5731; 1.4673

1 ; -91 ; -95 ; 0 ; 2 ; 43.5732; 1.4673

1 ; -95 ; -123 ; -6 ; 2 ; 43.5732; 1.4672

1 ; -96 ; -121 ; -4 ; 2 ; 43.5733; 1.4672

1 ; -98 ; -122 ; -5 ; 2 ; 43.5733; 1.4671

1 ; -104 ; -91 ; 5 ; 2 ; 43.5733; 1.4671

1 ; -94 ; -120 ; -3 ; 2 ; 43.5733; 1.4670

1 ; -110 ; -103 ; 3 ; 2 ; 43.5732; 1.4670

1 ; -93 ; -91 ; 6 ; 2 ; 43.5732; 1.4671

1 ; -113 ; -98 ; 5 ; 2 ; 43.5731; 1.4671

1 ; -113 ; -95 ; 5 ; 2 ; 43.5730; 1.4672

1 ; -113 ; -90 ; 8 ; 2 ; 43.5730; 1.4671

1 ; -113 ; -95 ; 7 ; 2 ; 43.5729; 1.4670

1 ; -112 ; -97 ; 6 ; 2 ; 43.5729; 1.4669

1 ; -112 ; -96 ; 6 ; 2 ; 43.5728; 1.4668

1 ; -105 ; -89 ; 5 ; 2 ; 43.5728; 1.4667

1 ; -87 ; -91 ; 1 ; 2 ; 43.5727; 1.4666

1 ; -103 ; -90 ; 4 ; 2 ; 43.5727; 1.4665

1 ; -95 ; -124 ; -7 ; 2 ; 43.5728; 1.4664

1 ; -107 ; -98 ; 2 ; 2 ; 43.5728; 1.4663

1 ; -99 ; -96 ; 2 ; 2 ; 43.5729; 1.4663

1 ; -109 ; -96 ; 5 ; 2 ; 43.5728; 1.4663

1 ; -106 ; -85 ; 5 ; 2 ; 43.5728; 1.4664

1 ; -102 ; -88 ; 6 ; 2 ; 

1 ; -102 ; -91 ; 4 ; 2 ; 43.5726; 1.4664

1 ; -89 ; -121 ; -4 ; 2 ; 43.5726; 1.4663

1 ; -99 ; -94 ; 0 ; 2 ; 43.5725; 1.4662

1 ; -107 ; -96 ; 5 ; 2 ; 43.5724; 1.4661

1 ; -90 ; -119 ; -2 ; 2 ; 43.5724; 1.4660

1 ; -89 ; -127 ; -10 ; 2 ; 43.5725; 1.4659

1 ; -82 ; -129 ; -12 ; 2 ; 43.5726; 1.4658

2 ; -90 ; -130 ; -13 ; 0 ; 43.5726; 1.4658

1 ; -84 ; -94 ; 1 ; 2 ; 43.5727; 1.4657

1 ; -85 ; -131 ; -14 ; 2 ; 43.5727; 1.4655

1 ; -107 ; -102 ; 0 ; 2 ; 43.5726; 1.4654

1 ; -92 ; -119 ; -2 ; 2 ; 43.5726; 1.4653

1 ; -85 ; -132 ; -15 ; 2 ; 43.5725; 1.4651

1 ; -104 ; -100 ; 2 ; 2 ; 43.5725; 1.4650

1 ; -108 ; -118 ; -1 ; 2 ; 43.5724; 1.4650

1 ; -106 ; -100 ; 0 ; 2 ; 43.5723; 1.4651

1 ; -100 ; -100 ; 1 ; 2 ; 43.5723; 1.4652

1 ; -96 ; -91 ; 1 ; 2 ; 43.5722; 1.4653

1 ; -109 ; -98 ; 4 ; 2 ; 43.5721; 1.4654

1 ; -111 ; -95 ; 5 ; 2 ; 43.5720; 1.4653

1 ; -95 ; -87 ; 6 ; 2 ; 43.5719; 1.4652

1 ; -109 ; -88 ; 8 ; 2 ; 43.5719; 1.4651

1 ; -113 ; -98 ; 6 ; 2 ; 

1 ; -111 ; -90 ; 7 ; 2 ; 43.5718; 1.4648

1 ; -107 ; -92 ; 6 ; 2 ; 43.5717; 1.4648

1 ; -110 ; -89 ; 6 ; 2 ; 43.5716; 1.4648

1 ; -110 ; -88 ; 8 ; 2 ; 43.5715; 1.4649

1 ; -111 ; -88 ; 6 ; 2 ; 43.5715; 1.4650

1 ; -112 ; -83 ; 7 ; 2 ; 43.5714; 1.4650

1 ; -113 ; -79 ; 6 ; 2 ; 43.5713; 1.4651

1 ; -113 ; -87 ; 8 ; 2 ; 43.5712; 1.4652

1 ; -113 ; -77 ; 7 ; 2 ; 43.5712; 1.4653

1 ; -112 ; -76 ; 7 ; 2 ; 43.5711; 1.4653

1 ; -113 ; -69 ; 9 ; 2 ; 43.5710; 1.4654

1 ; -112 ; -76 ; 7 ; 2 ; 43.5710; 1.4655

1 ; -100 ; -72 ; 7 ; 2 ; 43.5711; 1.4656

1 ; -84 ; -80 ; 8 ; 2 ; 43.5711; 1.4657

1 ; -113 ; -81 ; 7 ; 2 ; 43.5712; 1.4658

1 ; -114 ; -85 ; 7 ; 2 ; 43.5712; 1.4659

1 ; -112 ; -86 ; 8 ; 2 ; 43.5713; 1.4661

1 ; -113 ; -86 ; 8 ; 2 ; 43.5713; 1.4662

1 ; -113 ; -82 ; 6 ; 2 ; 43.5713; 1.4664

1 ; -114 ; -83 ; 6 ; 2 ; 43.5713; 1.4664

1 ; -110 ; -91 ; 7 ; 2 ; 

1 ; -113 ; -92 ; 7 ; 2 ; 

1 ; -112 ; -86 ; 7 ; 2 ; 

1 ; -113 ; -86 ; 6 ; 2 ; 43.5716; 1.4662

1 ; -112 ; -89 ; 7 ; 2 ; 43.5717; 1.4661

1 ; -108 ; -90 ; 6 ; 2 ; 43.5718; 1.4661

1 ; -114 ; -93 ; 7 ; 2 ; 43.5718; 1.4661

1 ; -90 ; -91 ; 3 ; 2 ; 43.5719; 1.4660

1 ; -113 ; -90 ; 8 ; 2 ; 43.5720; 1.4659

1 ; -110 ; -97 ; 5 ; 2 ; 43.5721; 1.4659

1 ; -100 ; -90 ; 7 ; 2 ; 43.5721; 1.4658

1 ; -94 ; -89 ; 2 ; 2 ; 43.5720; 1.4657

1 ; -93 ; -89 ; 0 ; 2 ; 43.5720; 1.4656

1 ; -105 ; -93 ; 0 ; 2 ; 43.5719; 1.4655

1 ; -107 ; -118 ; -1 ; 2 ; 43.5718; 1.4654

1 ; -99 ; -88 ; 3 ; 2 ; 43.5718; 1.4653

1 ; -93 ; -121 ; -4 ; 2 ; 43.5719; 1.4654

1 ; -94 ; -91 ; 1 ; 2 ; 43.5720; 1.4654

1 ; -97 ; -89 ; 2 ; 2 ; 43.5720; 1.4655

1 ; -106 ; -93 ; 3 ; 2 ; 43.5720; 1.4656

1 ; -113 ; -92 ; 8 ; 2 ; 43.5721; 1.4658

1 ; -113 ; -93 ; 7 ; 2 ; 43.5720; 1.4658

1 ; -112 ; -92 ; 7 ; 2 ; 43.5719; 1.4659

1 ; -112 ; -92 ; 8 ; 2 ; 

1 ; -113 ; -94 ; 7 ; 2 ; 

1 ; -106 ; -93 ; 8 ; 2 ; 

1 ; -112 ; -99 ; 5 ; 2 ; 43.5719; 1.4661

1 ; -113 ; -89 ; 7 ; 2 ; 43.5718; 1.4662

1 ; -111 ; -86 ; 8 ; 2 ; 43.5717; 1.4662

1 ; -110 ; -85 ; 8 ; 2 ; 43.5716; 1.4663

1 ; -111 ; -88 ; 7 ; 2 ; 43.5715; 1.4664

1 ; -114 ; -87 ; 8 ; 2 ; 43.5714; 1.4665

1 ; -112 ; -84 ; 8 ; 2 ; 43.5714; 1.4666

1 ; -111 ; -81 ; 7 ; 2 ; 43.5713; 1.4667

1 ; -112 ; -81 ; 8 ; 2 ; 43.5712; 1.4668

1 ; -111 ; -85 ; 8 ; 2 ; 43.5711; 1.4668

1 ; -112 ; -79 ; 8 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -85 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -111 ; -75 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -109 ; -78 ; 9 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -77 ; 10 ; 2 ; 

1 ; -113 ; -76 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -77 ; -71 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -73 ; 9 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -74 ; 8 ; 2 ; 43.5710; 1.4669

1 ; -114 ; -72 ; 9 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -76 ; 6 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -76 ; 7 ; 2 ; 

1 ; -111 ; -78 ; 9 ; 2 ; 

1 ; -111 ; -79 ; 8 ; 2 ; 

