 lat ; lng;lat antenne;long antenne; RSSI ; RSSI packet ; SNR ;distance;Fréquence (MHz);Puissance émission (dBm);Perte;x;x moyen;Perte théorique (dB);
43,5706;1,4661;43,5707141;1,4660495;-113;-76;8;0,013324128;868,1;14;91,4;70,13582919;65,62097852;86,88514933;TODO : Trouver un modèle sur internet et modifier coeff
43,5706;1,4661;43,5707141;1,4660495;-102;-78;8;0,013324128;868,1;14;93,4;72,13582919;65,62097852;86,88514933;
43,5706;1,4659;43,5707141;1,4660495;-114;-76;6;0,017493873;868,1;14;91,4;67,77088527;65,62097852;89,25009325;
43,5706;1,4659;43,5707141;1,4660495;-112;-76;7;0,017493873;868,1;14;91,4;67,77088527;65,62097852;89,25009325;
43,5706;1,4659;43,5707141;1,4660495;-112;-81;6;0,017493873;868,1;14;96,4;72,77088527;65,62097852;89,25009325;
43,5706;1,4662;43,5707141;1,4660495;-113;-84;7;0,017549426;868,1;14;99,4;75,74334654;65,62097852;89,27763198;
43,5707;1,4663;43,5707141;1,4660495;-113;-71;7;0,020241933;868,1;14;86,4;61,50356514;65,62097852;90,51741338;
43,5706;1,4658;43,5707141;1,4660495;-113;-74;6;0,023769873;868,1;14;89,4;63,10806782;65,62097852;91,9129107;
43,5706;1,4658;43,5707141;1,4660495;-112;-76;7;0,023769873;868,1;14;91,4;65,10806782;65,62097852;91,9129107;
43,5706;1,4658;43,5707141;1,4660495;-112;-76;8;0,023769873;868,1;14;91,4;65,10806782;65,62097852;91,9129107;
43,5706;1,4663;43,5707141;1,4660495;-112;-72;6;0,023838025;868,1;14;87,4;61,08319961;65,62097852;91,93777891;
43,5705;1,466;43,5707141;1,4660495;-113;-75;7;0,024138408;868,1;14;90,4;63,9744324;65,62097852;92,04654612;
43,5705;1,466;43,5707141;1,4660495;-113;-75;8;0,024138408;868,1;14;90,4;63,9744324;65,62097852;92,04654612;
43,5705;1,4659;43,5707141;1,4660495;-112;-75;8;0,026680197;868,1;14;90,4;63,10482424;65,62097852;92,91615428;
43,5705;1,4659;43,5707141;1,4660495;-112;-68;7;0,026680197;868,1;14;83,4;56,10482424;65,62097852;92,91615428;
43,5707;1,4657;43,5707141;1,4660495;-112;-75;7;0,028200418;868,1;14;90,4;62,62349396;65,62097852;93,39748456;
43,5707;1,4657;43,5707141;1,4660495;-112;-74;9;0,028200418;868,1;14;89,4;61,62349396;65,62097852;93,39748456;
43,5707;1,4664;43,5707141;1,4660495;-113;-73;6;0,028280841;868,1;14;88,4;60,5987584;65,62097852;93,42222013;
43,5707;1,4664;43,5707141;1,4660495;-110;-73;9;0,028280841;868,1;14;88,4;60,5987584;65,62097852;93,42222013;
43,5708;1,4664;43,5707141;1,4660495;-113;-84;4;0,029809079;868,1;14;99,4;71,14163375;65,62097852;93,87934477;
43,5708;1,4664;43,5707141;1,4660495;-115;-78;8;0,029809079;868,1;14;93,4;65,14163375;65,62097852;93,87934477;
43,5708;1,4664;43,5707141;1,4660495;-112;-88;8;0,029809079;868,1;14;103,4;75,14163375;65,62097852;93,87934477;
43,5706;1,4664;43,5707141;1,4660495;-112;-79;7;0,030956769;868,1;14;94,4;65,81349238;65,62097852;94,20748614;
43,5705;1,4658;43,5707141;1,4660495;-112;-71;6;0,03115773;868,1;14;86,4;57,75728866;65,62097852;94,26368986;
43,5704;1,466;43,5707141;1,4660495;-113;-80;8;0,035153247;868,1;14;95,4;65,70929586;65,62097852;95,31168266;
43,5704;1,4661;43,5707141;1,4660495;-113;-76;6;0,035162732;868,1;14;91,4;61,70695259;65,62097852;95,31402594;
43,5707;1,4665;43,5707141;1,4660495;-112;-85;6;0,036327609;868,1;14;100,4;70,42386853;65,62097852;95,59710999;
43,5707;1,4665;43,5707141;1,4660495;-112;-80;6;0,036327609;868,1;14;95,4;65,42386853;65,62097852;95,59710999;
43,5707;1,4665;43,5707141;1,4660495;-112;-82;9;0,036327609;868,1;14;97,4;67,42386853;65,62097852;95,59710999;
43,5707;1,4665;43,5707141;1,4660495;-113;-79;7;0,036327609;868,1;14;94,4;64,42386853;65,62097852;95,59710999;
43,5707;1,4665;43,5707141;1,4660495;-114;-75;7;0,036327609;868,1;14;90,4;60,42386853;65,62097852;95,59710999;
43,5707;1,4665;43,5707141;1,4660495;-113;-83;9;0,036327609;868,1;14;98,4;68,42386853;65,62097852;95,59710999;
43,5708;1,4665;43,5707141;1,4660495;-81;-88;6;0,037529594;868,1;14;103,4;73,14112765;65,62097852;95,87985087;
43,5708;1,4665;43,5707141;1,4660495;-111;-74;7;0,037529594;868,1;14;89,4;59,14112765;65,62097852;95,87985087;
43,5708;1,4665;43,5707141;1,4660495;-111;-78;8;0,037529594;868,1;14;93,4;63,14112765;65,62097852;95,87985087;
43,5708;1,4665;43,5707141;1,4660495;-111;-88;7;0,037529594;868,1;14;103,4;73,14112765;65,62097852;95,87985087;
43,5704;1,4658;43,5707141;1,4660495;-113;-78;7;0,040297546;868,1;14;93,4;62,5230329;65,62097852;96,49794562;
43,5704;1,4658;43,5707141;1,4660495;-112;-80;6;0,040297546;868,1;14;95,4;64,5230329;65,62097852;96,49794562;
43,5703;1,466;43,5707141;1,4660495;-111;-70;6;0,046218087;868,1;14;85,4;53,33236549;65,62097852;97,68861303;
43,5703;1,4661;43,5707141;1,4660495;-112;-77;6;0,046225204;868,1;14;92,4;60,33102806;65,62097852;97,68995046;
43,5703;1,4658;43,5707141;1,4660495;-112;-82;7;0,050241945;868,1;14;97,4;64,60727606;65,62097852;98,41370246;
43,5703;1,4658;43,5707141;1,4660495;-114;-79;8;0,050241945;868,1;14;94,4;61,60727606;65,62097852;98,41370246;
43,5705;1,4666;43,5707141;1,4660495;-114;-73;8;0,050335945;868,1;14;88,4;55,59104039;65,62097852;98,42993814;
43,5711;1,4657;43,5707141;1,4660495;-84;-80;8;0,051323308;868,1;14;95,4;62,42231214;65,62097852;98,59866638;
43,5706;1,4667;43,5707141;1,4660495;-77;-76;6;0,053920408;868,1;14;91,4;57,99354151;65,62097852;99,02743701;
43,571;1,4655;43,5707141;1,4660495;-112;-76;7;0,054501626;868,1;14;91,4;57,90041567;65,62097852;99,12056285;
43,5712;1,4659;43,5707141;1,4660495;-114;-85;7;0,055355746;868,1;14;100,4;66,76535076;65,62097852;99,25562776;
43,5711;1,4656;43,5707141;1,4660495;-100;-72;7;0,056148671;868,1;14;87,4;53,64181522;65,62097852;99,3791633;
43,5712;1,4658;43,5707141;1,4660495;-113;-81;7;0,057647461;868,1;14;96,4;62,41300112;65,62097852;99,6079774;
43,5702;1,4659;43,5707141;1,4660495;-112;-75;7;0,058420393;868,1;14;90,4;56,29731537;65,62097852;99,72366316;
43,5707;1,4668;43,5707141;1,4660495;-109;-84;7;0,060483099;868,1;14;99,4;64,9959242;65,62097852;100,0250543;
43,5702;1,4663;43,5707141;1,4660495;-113;-78;6;0,060623008;868,1;14;93,4;58,97585521;65,62097852;100,0451233;
43,571;1,4654;43,5707141;1,4660495;-113;-69;9;0,061226128;868,1;14;84,4;49,88986894;65,62097852;100,1311096;
43,5702;1,4657;43,5707141;1,4660495;-113;-81;7;0,063723582;868,1;14;96,4;61,5426013;65,62097852;100,4783772;
43,5713;1,4661;43,5707141;1,4660495;-112;-86;8;0,065276147;868,1;14;101,4;66,33351467;65,62097852;100,6874638;
43,5713;1,4662;43,5707141;1,4660495;-113;-86;8;0,06626783;868,1;14;101,4;66,20254987;65,62097852;100,8184287;
43,5702;1,4656;43,5707141;1,4660495;-113;-88;7;0,067670424;868,1;14;103,4;68,02062695;65,62097852;101,0003516;
